base_sigungu_code,base_sigungu_name,base_sido_name,neighbor_sigungu_code,neighbor_sigungu_name,neighbor_sido_name,adjacency_type,touches,centroid_distance_km
11010,종로구,서울특별시,11080,성북구,서울특별시,border_touch,True,3.744
11010,종로구,서울특별시,11130,서대문구,서울특별시,border_touch,True,3.876
11010,종로구,서울특별시,11020,중구,서울특별시,border_touch,True,4.194
11010,종로구,서울특별시,11120,은평구,서울특별시,border_touch,True,5.194
11010,종로구,서울특별시,11060,동대문구,서울특별시,border_touch,True,6.995
11010,종로구,서울특별시,11040,성동구,서울특별시,buffer_intersects,False,7.442
11010,종로구,서울특별시,31101,고양시 덕양구,경기도,border_touch,True,11.022
11020,중구,서울특별시,11030,용산구,서울특별시,border_touch,True,3.491
11020,중구,서울특별시,11040,성동구,서울특별시,border_touch,True,4.113
11020,중구,서울특별시,11010,종로구,서울특별시,border_touch,True,4.194
11020,중구,서울특별시,11130,서대문구,서울특별시,border_touch,True,5.389
11020,중구,서울특별시,11060,동대문구,서울특별시,border_touch,True,5.745
11020,중구,서울특별시,11140,마포구,서울특별시,border_touch,True,7.742
11030,용산구,서울특별시,11020,중구,서울특별시,border_touch,True,3.491
11030,용산구,서울특별시,11200,동작구,서울특별시,border_touch,True,4.383
11030,용산구,서울특별시,11040,성동구,서울특별시,border_touch,True,5.825
11030,용산구,서울특별시,11190,영등포구,서울특별시,border_touch,True,6.243
11030,용산구,서울특별시,11140,마포구,서울특별시,border_touch,True,7.048
11030,용산구,서울특별시,11220,서초구,서울특별시,border_touch,True,7.88
11030,용산구,서울특별시,11230,강남구,서울특별시,border_touch,True,8.29
11040,성동구,서울특별시,11060,동대문구,서울특별시,border_touch,True,3.648
11040,성동구,서울특별시,11050,광진구,서울특별시,border_touch,True,3.977
11040,성동구,서울특별시,11020,중구,서울특별시,border_touch,True,4.113
11040,성동구,서울특별시,11030,용산구,서울특별시,border_touch,True,5.825
11040,성동구,서울특별시,11230,강남구,서울특별시,border_touch,True,6.336
11040,성동구,서울특별시,11010,종로구,서울특별시,buffer_intersects,False,7.442
11050,광진구,서울특별시,11040,성동구,서울특별시,border_touch,True,3.977
11050,광진구,서울특별시,11060,동대문구,서울특별시,border_touch,True,4.771
11050,광진구,서울특별시,11240,송파구,서울특별시,border_touch,True,5.255
11050,광진구,서울특별시,11250,강동구,서울특별시,border_touch,True,5.428
11050,광진구,서울특별시,11070,중랑구,서울특별시,border_touch,True,5.704
11050,광진구,서울특별시,11230,강남구,서울특별시,border_touch,True,5.907
11050,광진구,서울특별시,31120,구리시,경기도,border_touch,True,7.072
11060,동대문구,서울특별시,11040,성동구,서울특별시,border_touch,True,3.648
11060,동대문구,서울특별시,11070,중랑구,서울특별시,border_touch,True,3.786
11060,동대문구,서울특별시,11080,성북구,서울특별시,border_touch,True,4.217
11060,동대문구,서울특별시,11050,광진구,서울특별시,border_touch,True,4.771
11060,동대문구,서울특별시,11020,중구,서울특별시,border_touch,True,5.745
11060,동대문구,서울특별시,11010,종로구,서울특별시,border_touch,True,6.995
11070,중랑구,서울특별시,31120,구리시,경기도,border_touch,True,3.387
11070,중랑구,서울특별시,11060,동대문구,서울특별시,border_touch,True,3.786
11070,중랑구,서울특별시,11050,광진구,서울특별시,border_touch,True,5.704
11070,중랑구,서울특별시,11110,노원구,서울특별시,border_touch,True,6.268
11070,중랑구,서울특별시,11080,성북구,서울특별시,border_touch,True,6.71
11080,성북구,서울특별시,11010,종로구,서울특별시,border_touch,True,3.744
11080,성북구,서울특별시,11060,동대문구,서울특별시,border_touch,True,4.217
11080,성북구,서울특별시,11090,강북구,서울특별시,border_touch,True,4.226
11080,성북구,서울특별시,11070,중랑구,서울특별시,border_touch,True,6.71
11080,성북구,서울특별시,11110,노원구,서울특별시,border_touch,True,7.262
11080,성북구,서울특별시,31101,고양시 덕양구,경기도,border_touch,True,13.456
11090,강북구,서울특별시,11100,도봉구,서울특별시,border_touch,True,3.403
11090,강북구,서울특별시,11080,성북구,서울특별시,border_touch,True,4.226
11090,강북구,서울특별시,11110,노원구,서울특별시,border_touch,True,5.722
11090,강북구,서울특별시,31101,고양시 덕양구,경기도,border_touch,True,11.774
11090,강북구,서울특별시,31260,양주시,경기도,border_touch,True,18.35
11100,도봉구,서울특별시,11090,강북구,서울특별시,border_touch,True,3.403
11100,도봉구,서울특별시,11110,노원구,서울특별시,border_touch,True,4.19
11100,도봉구,서울특별시,31030,의정부시,경기도,border_touch,True,8.093
11100,도봉구,서울특별시,31260,양주시,경기도,border_touch,True,15.727
11110,노원구,서울특별시,11100,도봉구,서울특별시,border_touch,True,4.19
11110,노원구,서울특별시,11090,강북구,서울특별시,border_touch,True,5.722
11110,노원구,서울특별시,11070,중랑구,서울특별시,border_touch,True,6.268
11110,노원구,서울특별시,11080,성북구,서울특별시,border_touch,True,7.262
11110,노원구,서울특별시,31120,구리시,경기도,border_touch,True,7.717
11110,노원구,서울특별시,31030,의정부시,경기도,border_touch,True,9.303
11110,노원구,서울특별시,31130,남양주시,경기도,border_touch,True,14.913
11120,은평구,서울특별시,11130,서대문구,서울특별시,border_touch,True,4.717
11120,은평구,서울특별시,11010,종로구,서울특별시,border_touch,True,5.194
11120,은평구,서울특별시,31101,고양시 덕양구,경기도,border_touch,True,5.892
11120,은평구,서울특별시,11140,마포구,서울특별시,border_touch,True,6.848
11130,서대문구,서울특별시,11140,마포구,서울특별시,border_touch,True,3.406
11130,서대문구,서울특별시,11010,종로구,서울특별시,border_touch,True,3.876
11130,서대문구,서울특별시,11120,은평구,서울특별시,border_touch,True,4.717
11130,서대문구,서울특별시,11020,중구,서울특별시,border_touch,True,5.389
11140,마포구,서울특별시,11130,서대문구,서울특별시,border_touch,True,3.406
11140,마포구,서울특별시,11190,영등포구,서울특별시,border_touch,True,4.109
11140,마포구,서울특별시,11120,은평구,서울특별시,border_touch,True,6.848
11140,마포구,서울특별시,11030,용산구,서울특별시,border_touch,True,7.048
11140,마포구,서울특별시,11160,강서구,서울특별시,border_touch,True,7.55
11140,마포구,서울특별시,11020,중구,서울특별시,border_touch,True,7.742
11140,마포구,서울특별시,31101,고양시 덕양구,경기도,border_touch,True,11.02
11150,양천구,서울특별시,11170,구로구,서울특별시,border_touch,True,3.367
11150,양천구,서울특별시,11190,영등포구,서울특별시,border_touch,True,4.851
11150,양천구,서울특별시,11160,강서구,서울특별시,border_touch,True,4.966
11150,양천구,서울특별시,31053,부천시 오정구,경기도,border_touch,True,5.483
11160,강서구,서울특별시,31053,부천시 오정구,경기도,border_touch,True,4.544
11160,강서구,서울특별시,11150,양천구,서울특별시,border_touch,True,4.966
11160,강서구,서울특별시,11140,마포구,서울특별시,border_touch,True,7.55
11160,강서구,서울특별시,23070,계양구,인천광역시,border_touch,True,7.795
11160,강서구,서울특별시,11190,영등포구,서울특별시,border_touch,True,8.844
11160,강서구,서울특별시,31101,고양시 덕양구,경기도,border_touch,True,11.592
11160,강서구,서울특별시,31230,김포시,경기도,border_touch,True,21.87
11170,구로구,서울특별시,11150,양천구,서울특별시,border_touch,True,3.367
11170,구로구,서울특별시,11180,금천구,서울특별시,border_touch,True,5.439
11170,구로구,서울특별시,31060,광명시,경기도,border_touch,True,5.514
11170,구로구,서울특별시,11190,영등포구,서울특별시,border_touch,True,5.679
11170,구로구,서울특별시,31052,부천시 소사구,경기도,border_touch,True,5.689
11170,구로구,서울특별시,31053,부천시 오정구,경기도,border_touch,True,6.669
11170,구로구,서울특별시,31051,부천시 원미구,경기도,border_touch,True,6.862
11170,구로구,서울특별시,11210,관악구,서울특별시,border_touch,True,8.422
11170,구로구,서울특별시,11200,동작구,서울특별시,buffer_intersects,False,8.443
11180,금천구,서울특별시,31060,광명시,경기도,border_touch,True,3.624
11180,금천구,서울특별시,11210,관악구,서울특별시,border_touch,True,4.008
11180,금천구,서울특별시,11170,구로구,서울특별시,border_touch,True,5.439
11180,금천구,서울특별시,31041,안양시 만안구,경기도,border_touch,True,6.332
11190,영등포구,서울특별시,11140,마포구,서울특별시,border_touch,True,4.109
11190,영등포구,서울특별시,11200,동작구,서울특별시,border_touch,True,4.494
11190,영등포구,서울특별시,11150,양천구,서울특별시,border_touch,True,4.851
11190,영등포구,서울특별시,11170,구로구,서울특별시,border_touch,True,5.679
